steamLink,title_en,title_zh,title_ja
https://store.steampowered.com/app/2678640/_/,朝露：境界旅程,朝露：境界旅程,朝露：境界旅程
https://store.steampowered.com/app/2729360/Imaginary_future/,虚构未来,虚构未来,虚构未来
https://store.steampowered.com/app/1865010/_/,皓际大冒险,皓际大冒险,皓际大冒险,
https://store.steampowered.com/app/997090/_/,TheFlagship,旗舰,TheFlagship
https://store.steampowered.com/app/2774380/Hospital_666/,Hospital 666,Hospital 666,Hospital 666
https://store.steampowered.com/app/3255870/_/,耶兰多的低语,Whisper of Y'Ryando,イェリャンドの囁き
https://store.steampowered.com/app/1568010/Crescent_Overload/,Crescent Overload,Crescent Overload,Crescent Overload
https://store.steampowered.com/app/3122710/Skyline_Savior/,Skyline Savior,Skyline Savior,Skyline Savior
https://store.steampowered.com/app/3308330/Hardcore_Circus/,Hardcore Circus,硬核马戏团,ハードコアサーカス
https://store.steampowered.com/app/3276600/_/,Hirai Nya,飛雷喵,ヒライニャ
https://store.steampowered.com/app/1186460/_/,Songs of Wuxia,俠道遊歌,俠道遊歌
