steamLink,title_en,title_zh,title_ja
https://store.steampowered.com/app/2692030/_/,Valkyrie Squad: Siege Breakers,女武神小隊：突破重圍,ワルキューレスクワッド：突破せよ
https://store.steampowered.com/app/1809540/_/,Nine Sols,九日,九日ナインソール
https://store.steampowered.com/app/1302850/Tails_of_Trainspot/,Tails of Trainspot,島嶼鐵道局,島々鉄道局
https://store.steampowered.com/app/3090620/Arcade_Galaxy/,Arcade Galaxy,Arcade Galaxy,Arcade Galaxy
https://store.steampowered.com/app/2439560/Alices_World/,Alice's world,Alice's world,Alice's world
https://store.steampowered.com/app/1487270/_/,Last Command,最後指令,ラストコマンド
https://store.steampowered.com/app/3425800/Capture_Catcoffee/,Capture Catcoffee,抓捕貓咪咖啡廳,キャプチャー キャットコーヒー
https://store.steampowered.com/app/2325390/AirBoost/,AirBoost Airship Knight,AirBoost 天空機士,AirBoost エアシップの騎士
https://store.steampowered.com/app/1352890/_/,Seekers Alliance,追尋者聯盟,追尋者聯盟
https://store.steampowered.com/app/3344580/_/,Runai,露奈伊物語,Runai
https://store.steampowered.com/app/1335360/_/,Chef Chen,大廚老陳,料理長チン
https://store.steampowered.com/app/3183230/_/,Dream Strikers,夢魘獵人,夢魘獵人
https://store.steampowered.com/app/3082000/_/,Path of Gear: Blacksmith's Legend,裝備之路: 鐵匠傳奇,装備の道：鍛冶師の伝説
https://store.steampowered.com/app/2527300/Lily_Fantasia/,Lily Fantasia,莉莉幻想曲,リリーファンタジア
https://store.steampowered.com/app/3253950/Awaking_Beauty/,Awaking Beauty,相位夢姬,Awaking Beauty
https://store.steampowered.com/app/3491350/Seeker_Tactics/,Seeker Tactics,逐墨,シーカータクティクス
https://store.steampowered.com/app/2223420/_/,Voice of Belldona,紡織者之詠,紡織者之詠
https://store.steampowered.com/app/3376840/Glimmer/,Glimmer,Glimmer,Glimmer
https://store.steampowered.com/app/3230380/YARETA/,YARETA,阿雷塔,アレタ
https://store.steampowered.com/app/2941150/_Arcana/,Fire Magician: Arcana,魔火術師: Arcana,火の魔術師：アルカナ
https://store.steampowered.com/app/2169950/_/,Yasha: Legends of the Demon Blade,百劍討妖傳綺譚,百剣討妖伝綺譚
