steamLink,title_en,title_zh,title_ja,price,bargain_price,game_type
https://store.steampowered.com/app/2325390/AirBoost_Airship_Knight/,AirBoost Airship Knight,AirBoost:天空機士,AirBoost エアシップの騎士,,,
https://store.steampowered.com/app/3082000/,Path of Gear: Blacksmith's Legend,裝備之路: 鐵匠傳奇,Path of Gear～鍛冶師伝説～,,,
https://store.steampowered.com/app/3090620/Arcade_Galaxy/,Arcade Galaxy,愛開蓋樂世,Arcade Galaxy,,,
https://store.steampowered.com/app/1858450/QUIT_TODAY/,QUIT TODAY,即刻離職,速攻退職,,,
https://store.steampowered.com/app/3425800/Capture_Catcoffee/,Capture Catcoffee,Capture Catcoffee,Capture Catcoffee,,,
https://store.steampowered.com/app/3134540/UFO/,UFO,UFO,UFO（ユーフォー）,,,
https://store.steampowered.com/app/3211560/,Die Deep,死深 Die Deep,Die Deep,,,
https://store.steampowered.com/app/3344580/Runai/,Runai,露奈伊物語,露奈伊物語,,,
https://store.steampowered.com/app/1651400/__the_Unreachable_Oneiroborder/,Touhou: the Unreachable Oneiroborder,東方夢無垠 ~ the Unreachable Oneiroborder,東方夢無垠 ~ the Unreachable Oneiroborder,,,
https://store.steampowered.com/app/3054610/,Artifact Seeker: Resurrection,神器行者:重生,アーティファクトシーカー,,,
https://store.steampowered.com/app/3049580/H/,Peachy Derby,真空少女H,真空女忍,,,
https://store.steampowered.com/app/3193330/The_Weird_Hunter/,猎异者（The Weird Hunter）,猎异者（The Weird Hunter）,猎异者（The Weird Hunter）,,,
https://store.steampowered.com/app/2537010/_/,MISTERY,幽霾,MISTERY,,,
https://store.steampowered.com/app/3480330,TouHou Koishi's Enchanted Woods,戀戀幻之森,恋恋幻之森(TouHou Koishi's Enchanted Woods),,,
https://store.steampowered.com/app/3183230/Dream_Strikers/,Dream Strikers,夢魘獵人,Dream Strikers,,,
https://store.steampowered.com/app/3295190,Touhou Chronicle of Youkai Prayers,東方祈妖錄,东方祈妖录,,,
https://store.steampowered.com/app/3107530/Danchi_Days/,Danchi Days,Danchi Days,Danchi Days,,,
https://store.steampowered.com/app/3413210/_Cosmolace/,Cosmolace,宇宙之網 Cosmolace,宇宙の網 Cosmolace,,,
store.steampowered.com/app/3385260/Luminatory/,Luminatory,Luminatory,Luminatory,,,
https://store.steampowered.com/app/3432100/_/,Stellar Cardworks,Stellar Cardworks,Stellar Cardworks,,,
https://store.steampowered.com/app/1429500,Frontier Hunter: Erza’s Wheel of Fortune,邊境獵人: 艾爾莎的命運之輪,フロンティアハンター ～エルザの運命の輪～,,,
https://store.steampowered.com/app/3503340/Nightmare/,Dream Night,梦夜Nightmare,夢の夜,,,
https://store.steampowered.com/app/3546480/6cdf675b7aea1d981a97ac757370d0eaceaac52f/,Midnight Billiards,Midnight Billiards,Midnight Billiards,,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3546480/6cdf675b7aea1d981a97ac757370d0eaceaac52f/header.jpg,
https://store.steampowered.com/app/3253950/Awaking_Beauty/,Awaking Beauty,Awaking Beauty,Awaking Beauty,,,
https://store.steampowered.com/app/1886840/_Sinoepoch/,Sinoepoch,Sinoepoch,Sinoepoch,,,
https://store.steampowered.com/app/3539480/Back_of_Beyond/,Back of Beyond,Back of Beyond,Back of Beyond,,,
https://store.steampowered.com/app/3156070/_/,Trailblader,拓荒骑士,拓荒騎士,,,
https://store.steampowered.com/app/1302850/Tails_of_Trainspot/,Tails of Trainspot,Tails of Trainspot,Tails of Trainspot,,,
https://store.steampowered.com/app/1217180/Fantamon/,Fantamon,Fantamon,Fantamal,,,
https://store.steampowered.com/app/3084260/_/,Ink Reverie,歲久丹青,歳久丹青,,,
https://store.steampowered.com/app/2325390/AirBoost/,AirBoost Airship Knight,AirBoost:天空機士,AirBoost エアシップの騎士,,,
https://store.steampowered.com/app/2532300/_/,The Weird Dream,The Weird Dream,The Weird Dream,,,
https://store.steampowered.com/app/3328720/_/,Flash Doll,閃光公仔,キラキラフィギュア,,,
https://store.steampowered.com/app/2692030/_/,Valkyrie Squad: Siege Breakers,女武神小隊：突破重圍,ワルキューレスクワッド：突破せよ,,,
https://store.steampowered.com/app/2840860/Bloom_Thrice/,Bloom Thrice,Bloom Thrice,Bloom Thrice ～三度咲く,,,
https://store.steampowered.com/app/3230380/_/,YARETA,阿雷塔,アレタ,,,
https://store.steampowered.com/app/1335360/,Chef Chen,大廚老陳,料理長チン,,,
https://store.steampowered.com/app/1142740,Escape from the Cursed Convent,逃離地獄邊緣,逃離地獄邊緣,,,
https://store.steampowered.com/app/3174160/Paws_and_Whiskers,Paws and Whiskers,貓鼠亂鬥,肉球とひげ,,,
https://store.steampowered.com/app/1631670/_/?l=tchinese,Project: AHNO's Ark,倒轉方舟,リバースアーク,,,
https://store.steampowered.com/app/2758110/Dice__Sword/,Dice &amp; Sword,Dice &amp; Sword,Dice &amp; Sword,,,
https://store.steampowered.com/app/3338510/_/,HEMA. Humetal Era Morphose Arms,機鐵人紀元-變形武裝,HEMA. Humetal Era Morphose Arms,,,
https://store.steampowered.com/app/3196150/Lami_A_Cup_of_Code__Coffee/,Lami: A Cup of Code &amp; Coffee,Lami: A Cup of Code &amp; Coffee,Lami: A Cup of Code &amp; Coffee,,,
https://store.steampowered.com/app/2481400,炸鸡块与天使,炸鸡块与天使,からあげと天使,,,
https://store.steampowered.com/app/997090,TheFlagship,旗艦,TheFlagship,,,
https://store.steampowered.com/app/3025160/Pirates_Outlaws_2_Heritage/,Pirates Outlaws 2: Heritage,航海奇聞2：傳承,Pirates Outlaws 2: Heritage,,,
https://store.steampowered.com/app/1788060/_/,CANDY HOUSE in the DARK FOREST,幽暗森林裡的糖果屋,暗い森のお菓子の家,,,
https://store.steampowered.com/app/3428570/Tellers_Duty/,Teller's Duty,Teller's Duty,Teller's Duty,,,
https://store.steampowered.com/app/2367120/,Blood Lily Ghoststories,血百合怪談,血の百合怪談,,,
https://store.steampowered.com/app/2548910/,Peacemaker: Bloody Emperor,和平締造者：腥紅帝王,Peacemaker: Bloody Emperor,,,
https://store.steampowered.com/app/3216640/_/,The Beast and the Princess,首無し魔獣と双子姫,首無し魔獣と双子姫,,,
